N,TwoCubeRepCount,PrimeFactorization,SquareFree,Carmichael_Korselt
1729,2,7 * 13 * 19,True,True
4104,2,2^3 * 3^3 * 19,False,False
13832,2,2^3 * 7 * 13 * 19,False,False
20683,2,13 * 37 * 43,True,False
32832,2,2^6 * 3^3 * 19,False,False
39312,2,2^4 * 3^3 * 7 * 13,False,False
40033,2,7^2 * 19 * 43,False,False
46683,2,3^3 * 7 * 13 * 19,False,False
64232,2,2^3 * 7 * 31 * 37,False,False
65728,2,2^6 * 13 * 79,False,False
110656,2,2^6 * 7 * 13 * 19,False,False
110808,2,2^3 * 3^6 * 19,False,False
134379,2,3^5 * 7 * 79,False,False
149389,2,31 * 61 * 79,True,False
165464,2,2^3 * 13 * 37 * 43,False,False
171288,2,2^3 * 3^3 * 13 * 61,False,False
195841,2,37 * 67 * 79,True,False
216027,2,3^5 * 7 * 127,False,False
216125,2,5^3 * 7 * 13 * 19,False,False
262656,2,2^9 * 3^3 * 19,False,False
314496,2,2^7 * 3^3 * 7 * 13,False,False
320264,2,2^3 * 7^2 * 19 * 43,False,False
327763,2,31 * 97 * 109,True,False
373464,2,2^3 * 3^3 * 7 * 13 * 19,False,False
402597,2,3^3 * 13 * 31 * 37,False,False
439101,2,3^5 * 13 * 139,False,False
443889,2,3^2 * 31 * 37 * 43,False,False
513000,2,2^3 * 3^3 * 5^3 * 19,False,False
513856,2,2^6 * 7 * 31 * 37,False,False
515375,2,5^3 * 7 * 19 * 31,False,False
525824,2,2^9 * 13 * 79,False,False
558441,2,3^3 * 13 * 37 * 43,False,False
593047,2,7^4 * 13 * 19,False,False
684019,2,7 * 19 * 37 * 139,True,False
704977,2,7 * 13 * 61 * 127,True,False
805688,2,2^3 * 13 * 61 * 127,False,False
842751,2,3^3 * 7^4 * 13,False,False
885248,2,2^9 * 7 * 13 * 19,False,False
886464,2,2^6 * 3^6 * 19,False,False
920673,2,3^3 * 13 * 43 * 61,False,False
955016,2,2^3 * 19 * 61 * 103,False,False
984067,2,7^3 * 19 * 151,False,False
994688,2,2^7 * 19 * 409,False,False
1009736,2,2^3 * 7 * 13 * 19 * 73,False,False
1016496,2,2^4 * 3^3 * 13 * 181,False,False
1061424,2,2^4 * 3^6 * 7 * 13,False,False
1073375,2,5^3 * 31 * 277,False,False
1075032,2,2^3 * 3^5 * 7 * 79,False,False
1080891,2,3^3 * 7^2 * 19 * 43,False,False
1092728,2,2^3 * 7 * 13 * 19 * 79,False,False
1195112,2,2^3 * 31 * 61 * 79,False,False
1260441,2,3^6 * 7 * 13 * 19,False,False
1323712,2,2^6 * 13 * 37 * 43,False,False
1331064,2,2^3 * 3^2 * 7 * 19 * 139,False,False
1370304,2,2^6 * 3^3 * 13 * 61,False,False
1407672,2,2^3 * 3^3 * 7^3 * 19,False,False
1533357,2,3^3 * 7^2 * 19 * 61,False,False
1566728,2,2^3 * 37 * 67 * 79,False,False
1609272,2,2^3 * 3^2 * 7 * 31 * 103,False,False
1728216,2,2^3 * 3^5 * 7 * 127,False,False
1729000,2,2^3 * 5^3 * 7 * 13 * 19,False,False
1734264,2,2^3 * 3^3 * 7 * 31 * 37,False,False
1774656,2,2^6 * 3^3 * 13 * 79,False,False
1845649,2,13^2 * 67 * 163,False,False
2048391,2,3^2 * 43 * 67 * 79,False,False
2101248,2,2^12 * 3^3 * 19,False,False
2301299,2,7 * 11^3 * 13 * 19,False,False
2418271,2,73 * 157 * 211,True,False
2515968,2,2^10 * 3^3 * 7 * 13,False,False
2562112,2,2^6 * 7^2 * 19 * 43,False,False
2585375,2,5^3 * 13 * 37 * 43,False,False
2622104,2,2^3 * 31 * 97 * 109,False,False
2691451,2,7 * 31 * 79 * 157,True,False
2864288,2,2^5 * 7 * 19 * 673,False,False
2987712,2,2^6 * 3^3 * 7 * 13 * 19,False,False
2991816,2,2^3 * 3^9 * 19,False,False
